Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Armed Robbery,4612 S. Woodlawn (Public Way),9/8/17 1:15 PM,9/8/17 1:10 PM,"Unknown suspect, armed with a handgun, took a wallet and cell phone from a victim on the street off campus / Suspect fled in a black, 4-door, late model Chevrolet with a possible partial Arizona license plate containing the digits 13246 / CPD case JA423489",CPD,17-00747
Information / Aggravated Battery,820 E. 46th St. (Public Way),9/9/17 1:45 PM,9/9/17 1:45 PM,Victim exiting vehicle parked on the street off campus suffered gunshot wounds to the hip and torso after an unknown person fired shots from a passing black Infiniti that went westbound on 46th St. / Victim transported to the hospital by CFD EMS / CPD case JA424787,CPD,17-00748
Battery,901 E. 58th St. (Mitchell ER),9/10/17 6:07 AM,9/10/17 5:55 AM,Subject struck a staff member and made threats to a second staff member placing him in fear of receiving bodily harm,Arrest,17-00749
Criminal Damage to Property,5530 S. Ellis (Ratner A.C.),9/10/17 1:10 PM,9/9/17 to 9/10/17 6:00 PM to 8:00 AM,Unknown person damaged lock on locker in secured locker room / Nothing missing from locker,Open,17-00750
Information / Armed Robbery,831 E. 46th St. (Rear Parking Lot),9/10/17 10:43 PM,9/10/17 9:30 PM,"Unknown suspect, armed with a handgun, forcibly took cash from a victim in a parking lot off campus / CPD case JA426431",CPD,17-00751
Theft,860 E. 59th St. (Goldblatt),9/11/17 10:48 AM,9/7/17 to 9/10/17 1:00 PM to 5:00 PM,Purse taken from secured office,Open,17-00752
Information,6200 S. Drexel (Public Way),9/11/17 11:59 AM,9/11/17 11:58 AM,UCPD officer observed an individual displaying a handgun on the street off campus / Suspect ran to a waiting vehicle and fled southbound / Suspect located hiding in the alley in the 800 block of E. 64th Pl. / Weapon not found / Suspect arrested by CPD for violation of parole / CPD case JA427100,CPD / Arrest,17-00753
Lost Property,1100 E. 57th St. (Regenstein Library),9/11/17 8:36 AM,9/9/17 10:00 AM to 12:00 PM,Individual lost wallet while in the library,Closed,17-00754
Void,Void,Void,Void,Number generated in error,Void,17-00755
Void,Void,Void,Void,Number generated in error,Void,17-00756
Theft,860 E. 59th St. (Goldblatt),9/12/17 2:44 PM,9/12/17 1:00 PM to 2:15 PM,"Wallet taken from unattended, unsecured purse left in unsecured office",Open,17-00757
Theft,5700 S. Maryland (CCD),9/12/17 2:46 PM,9/12/17 2:30 PM,Suspect took cell phone from charger in nurse's station / Suspect detained by UCM Public Safety Officer and arrested by UCPD,Arrest,17-00758
Information / Aggravated Robbery / Vehicular Hijacking,5300 S. Dorchester (Public Way),9/12/17 5:16 PM,9/12/17 5:10 PM,"Suspect, armed with a handgun, forced two victims from a vehicle parked on the street off campus / Suspect entered the vehicle and drove northbound on S. Kenwood followed by an associate in another vehicle / CPD case JA428711",CPD,17-00759
Information,5700 S. Stony Island (Stony Island RH),9/12/17 5:40 PM,9/12/17 5:20 PM,Individual seen tampering with bicycles secured to bike rack was issued a warning not to trespass on UC property,Closed,17-00760
Information,950 E. 59th St. (Billings Hospital),9/13/17 11:59 AM,9/12/17 6:00 PM,Unknown person attempted to use physician's DEA number to purchase controlled drugs / DEA investigating,DEA,17-00761
Information,5824 S. Stony Island (Child Development Center),9/13/17 3:04 PM,9/12/17 to 9/13/17 6:00 PM to 9:00 AM,Acquaintance used victim's Grub Hub account to purchase food without victim's knowledge / Referred to CPD,CPD,17-00762
Assist Other Agency / Recovered Motor Vehicle,5130 S. Lake Park,9/14/17 10:50 AM,9/14/17 10:50 AM,UCPD officers observed an occupied vehicle reported stolen to CPD / Wanted vehicle sped off and crashed into another vehicle / Suspect detained by UCPD and turned over to CPD / CPD case JA430812,CPD,17-00763
Traffic Crash,1525 E. 53rd St.,9/14/17 12:53 PM,9/14/17 12:53 PM,"UC owned vehicle involved in a minor traffic crash / Property damage only, no reported injuries / 2017 MVA-00159",Closed,17-00764
Information,5758 S. Maryland (DCAM),9/14/17 1:13 PM,9/14/17 8:30 AM,Individual reported a former co-worker's offensive behavior via text messages and phone calls / Victim wanted no action taken by UCPD at this time,Closed,17-00765
Found Property,5600 S. Ellis (Public Way),9/15/17 4:07 PM,9/15/17 3:40 PM,Individual found a set of three keys on a ring with a Mitsubishi fob on the sidewalk at 56th & Ellis / Turned over to UCPD for safekeeping,Closed,17-00766
Found Property,5720 S. University,9/16/17 3:15 PM,9/16/17 3:15 PM,A BMW key fob was found / Inventoried at UCPD HQ for safekeeping,Closed,17-00767
Void,Void,Void,Void,Number generated in error,Void,17-00768
Medical Call,University between 61st & 62nd St.,9/16/17 11:57 PM,9/16/17 11:57 PM,Ill person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00769
Liquor Law Violation,5500 S. University (Campus North RH),9/17/17 12:56 AM,9/17/17 12:56 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00770
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/17/17 1:48 AM,9/17/17 1:48 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00771
Liquor Law Violation,5757 S. University,9/17/17 2:19 AM,9/17/17 2:19 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00772
Information / Burglary,Kimbark Between 53rd & 54th,9/17/17 2:47 PM,9/17/17 1:00 AM to 8:00 AM,Unknown person(s) entered off campus private apartment and took a wallet / CPD case,CPD,17-00773
Information / Robbery,Hyde Park between Greenwood & University,9/17/17 9:20 PM,9/17/17 9:15 PM,"Individual, in the hallway of off campus private apartment building , was approached from behind by an unknown suspect who demanded victim's wallet / After a brief struggle, the suspect took the victim's wallet and was last seen fleeing southbound on University / Victim reported no physical injuries / CPD case JA435625",CPD,17-00774
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),9/18/17 3:58 AM,9/18/17 3:58 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00775
Non-Criminal Damage to Property,5739 S. Woodlawn (McGiffert Parking Lot),9/18/17 12:32 PM,9/18/17 12:30 PM,"Forklift backed into a parked, unattended car / No injuries reported",Closed,17-00776
Information,5800 S. Stony Island (Earl Shapiro School Parking Lot),9/18/17 2:48 PM,9/18/17 2:40 PM,Staff member reports a vehicle jumped a concrete curb barrier and came close to striking him,Closed,17-00777
Medical Call,915 E. 60th St. (Logan Center),9/18/17 7:10 PM,9/18/17 7:10 PM,Ill person transported to the hospital by CFD EMS,Closed,17-00778
Liquor Law Violation,5500 S. University (Campus North RH),9/18/17 10:41 PM,9/18/17 10:41 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00779
Theft,5721 S. Maryland (Comer Hospital),9/19/17 12:07 AM,9/18/17 5:00 PM to 6:00 PM,"Unattended, unsecured iPhone taken from bench in waiting area",Open,17-00780
Liquor Law Violation,1414 E. 59th St. (International House),9/19/17 1:59 AM,9/19/17 1:59 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00781
Battery,5700 S. University (Public Way),9/19/17 7:08 PM,9/19/17 6:50 PM,Unknown individual passing out pamphlets on the sidewalk spit on contract security officer after being warned not to force pamphlets on to passersby / Suspect fled before notification to UCPD,Open,17-00782
Information / Aggravated Battery,818 E. 45th St. (Public Way),9/19/17 11:15 PM,9/19/17 11:15 PM,"A driver and two passengers sitting in a car stopped on the street off campus suffered gunshot wounds as a result of shots being fired from a passing vehicle / The 3 victims, none affiliated with the University, were transported to hospitals by CFD EMS / CPD case JA438554",CPD,17-00783
Information,850 E. 61st St. (UCPD HQ),9/20/17 9:38 AM,9/20/17 9:38 AM,"Individual no longer owns a handgun, turned in live ammunition to UCPD for proper disposal",Closed,17-00784
Deceptive Practice,5700 S. Maryland (CCD),9/20/17 11:17 AM,9/19/17 to 9/20/17 9:15 PM to 9:40 AM,"Person lost a wallet while in the hospital / Unknown, unauthorized subject, used a credit card from the wallet to make a purchase",Open,17-00785
Battery,1101 E. 57th St. (Public Way),9/20/17 12:15 PM,9/20/17 12:13 PM,"Subject, not known to victim, walking westbound on 57th St., without provocation, slapped an individual on the head with an open hand / UCPD officers located the suspect nearby and took him into custody",Arrest,17-00786
Lost Property,5700 S. Maryland (CCD),9/20/17 5:24 PM,8/2/17 6:00 AM to 8:00 AM,Staff member reports loss of gold metal ring / Ring was placed in a plastic work ID sleeve attached to a lanyard,Closed,17-00787
Theft,"5811 S, Ellis (Cobb Hall)",9/20/17 5:30 PM,9/20/17 1:00 PM to 4:55 PM,Wallet taken from unsecured gym bag placed under desk in unsecured office,Open,17-00788
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/21/17 1:03 AM,9/21/17 1:03 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00789
Interference with Public Officer,1365 E. Midway Pl.,9/21/17 11:52 AM,9/21/17 11:52 AM,Suspicious individual detained by UCPD officers gave a fictitious name when questioned / Arrested for obstructing justice,Arrest,17-00790
Theft,821 E. 55th St. (Stagg Field),9/21/17 5:20 PM,9/21/17 5:00 PM to 5:15 PM,Subject took back pack left unattended and unsecured in the stands adjacent to the track / UCPD officer located the suspect nearby / Suspect positively identified and back pack returned to owner / Victim refused to prosecute,"Ex, Cleared",17-00791
Theft,5700 S. Maryland (CCD Food Court),9/21/17 5:11 PM,9/21/17 5:08 PM,Victim left cell phone on a nearby table charging / Suspect took the phone and walked away / Victim confronted suspect who returned the phone and walked off / UCPD officers located the suspect in Washington Park carrying back pack taken from Stagg Field (see above 17-00791) / Victim identified suspect and signed complaint for theft,Arrest,17-00792
Lost Property,5530 S. Ellis (Ratner A.C.),9/21/17 6:26 PM,9/21/17 5:45 PM to 5:55 PM,Individual reports losing wallet and keys while in the building,Open,17-00793
Armed Robbery,811 E. 54th St. (Public Way),9/21/17 10:00 PM,9/21/17 9:55 PM,"Two suspects, one armed with a handgun, took property from two victims walking on the sidewalk off campus / Suspects fled southbound in the alley / UCPD officer detained two suspects on Cottage Grove between 59th & 60th St. / Victims identified the suspects / Handgun and victims' property recovered / Both suspects charged with armed robbery",Arrest,17-00794
Theft,5700 S. Maryland (CCD),9/22/17 8:48 AM,9/20/17 2:30 PM to 7:30 PM,"Unattended, unsecured backpack was taken from secured break room by unknown person / Complainant later reported that his backpack had been mistakenly moved by other staff members and later returned to him intact / No theft occurred",Unfounded,17-00795
Information,5812 S. Ellis (Surgery Brain Research),9/22/17 8:00 AM,9/22/17 7:45 AM,Unauthorized individual denied entry to food court became upset with staff member / Subject issued a trespass warning,Closed,17-00796
Information / Theft,5050 S. Lake Shore Dr.,9/22/17 2:06 PM,9/21/17 to 9/22/17 7:00 PM to 11:00 AM,Unsecured bicycle taken from bike room in off campus private apartment building / CPD case JA442109,CPD,17-00797
Lost Property,5811 S. Ellis (Cobb Hall),9/22/17 2:56 PM,9/21/17 2:30 PM to 3:30 PM,Individual reports losing cell phone between 5811 S. Ellis and 5500 S. Ellis,Closed,17-00798
Theft,970 E. 58th St. (Bookstore),9/22/17 5:04 PM,9/22/17 4:55 PM to 5:00 PM,"Unsecured, unattended backpack left on the floor under table was taken by an unknown person",Open,17-00799
VOID,VOID,VOID,VOID,Number generated in error,VOID,17-00800
Information,5550 S. University (Crown Field House),9/23/17 12:55 PM,9/23/17 12:45 PM,"Item, prohibited on campus, was sent to individual / Item to be returned to sender",Closed,17-00802
Theft,6054 S. Drexel (Public Way),9/23/17 4:28 PM,9/23/17 1:30 PM,Unknown subject reached into open window of vehicle parked at the curb and took a cell phone before fleeing northbound on Drexel,Open,17-00803
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/24/17 3:59 AM,9/24/17 3:59 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00804
Theft,860 E. 59th St. (Goldblatt Bike Rack),9/24/17 5:35 PM,6/13/17 to 6/14/17 7:00 PM to 10:00 AM,Individual reports secured bicycle taken from bike rack in delayed report,Open,17-00805
Medical Call,1362 E. 59th St. (Lab School),9/25/17 11:01 AM,9/25/17 11:01 AM,Individual suffering an allergic reaction transported to Comer ER by CFD EMS for evaluation and treatment,Closed,17-00806
Void,Void,Void,Void,Number generated in error,Void,17-00807
Void,Void,Void,Void,Number generated in error,Void,17-00808
Theft,6031 S. Ellis (Granville-Grossman RH Bike Rack),9/25/17 6:09 PM,8/18/17 to 9/21/17 5:00 PM to 12:00 PM,Two secured bicycles taken from bike rack,Open,17-00809
Theft,5225 S. Cottage Grove (Facilities Services),9/26/17 8:55 AM,9/22/17 to 9/25/17 3:35 PM to 10:00 AM,Refrigerant canister taken from under desk in main warehouse,Open,17-00810
Theft,6031 S. Ellis (Granville-Grossman RH),9/26/17 12:56 PM,6/10/17 to 9/22/17 6:00 AM to 11:30 AM,Bicycle tire pump taken from bike room,Open,17-00811
Void,Void,Void,Void,Number generated in error,Void,17-00812
Recovered Motor Vehicle,5416 S. Ellis,9/26/17 11:52 PM,9/26/17 11:52 PM,"UCPD officer, notified by in-car license plate reader, recovered an unoccupied, parked vehicle that had previously been reported stolen to CPD / CPD case JA446279",CPD,17-00813
Lost Property,1101 E. 56th St. (Max Palevsky RH),9/27/17 2:37 PM,6/10/17 to 9/16/17 1:00 PM to 1:00 PM,Individual reports losing an employment authorization document,Closed,17-00814
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),9/27/17 3:01 PM,9/27/17 3:01 PM,Individual transported to ER for evaluation and treatment,Closed,17-00815
Traffic Crash,5226 S. Harper,9/28/17 12:43 PM,9/28/17 12:43 PM,UC owned vehicle involved in minor property damage crash / No injuries reported / 2017-MVA00165,Closed,17-00816
Information,1000 E. 54th Pl. (Public Way),9/29/17 1:51 AM,9/29/17 1:45 AM,An unknown suspect took property from three victims walking on the sidewalk off campus / CPD case,CPD,17-00817
Criminal Sexual Assault,5500 S. University (Campus North RH),9/29/17 11:19 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance during academic year 2016-2017/ Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-025
Criminal Sexual Assault,5500 S. University (Campus North RH),9/29/17 11:22 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by a known individual during academic year 2016-2017/ Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-026
